id,name,city,country,iata_code,lat,lng,links_count,objectID
1,"Hartsfield Jackson Atlanta Intl",Atlanta,"United States",ATL,33.636719,-84.428067,1826,3682
2,"Chicago Ohare Intl",Chicago,"United States",ORD,41.978603,-87.904842,1108,3830
3,"Capital Intl",Beijing,China,PEK,40.080111,116.584556,1069,3364
4,Heathrow,London,"United Kingdom",LHR,51.4775,-0.461389,1051,507
5,"Charles De Gaulle",Paris,France,CDG,49.012779,2.55,1041,1382
6,"Los Angeles Intl","Los Angeles","United States",LAX,33.942536,-118.408075,990,3484
7,"Frankfurt Main",Frankfurt,Germany,FRA,50.026421,8.543125,990,340
8,"Dallas Fort Worth Intl","Dallas-Fort Worth","United States",DFW,32.896828,-97.037997,936,3670
9,"John F Kennedy Intl","New York","United States",JFK,40.639751,-73.778925,911,3797
10,Schiphol,Amsterdam,Netherlands,AMS,52.308613,4.763889,903,580
11,Pudong,Shanghai,China,PVG,31.143378,121.805214,825,3406
12,"Changi Intl",Singapore,Singapore,SIN,1.350189,103.994433,820,3316
13,Barcelona,Barcelona,Spain,BCN,41.297078,2.078464,783,1218
14,"Incheon Intl",Seoul,"South Korea",ICN,37.469075,126.450517,740,3930
15,"Denver Intl",Denver,"United States",DEN,39.861656,-104.673178,735,3751
16,"Miami Intl",Miami,"United States",MIA,25.79325,-80.290556,734,3576
17,"Franz Josef Strauss",Munich,Germany,MUC,48.353783,11.786086,728,346
18,Ataturk,Istanbul,Turkey,IST,40.976922,28.814606,719,1701
19,"Hong Kong Intl","Hong Kong","Hong Kong",HKG,22.308919,113.914603,710,3077
20,"Dubai Intl",Dubai,"United Arab Emirates",DXB,25.252778,55.364444,710,2188
21,Gatwick,London,"United Kingdom",LGW,51.148056,-0.190278,708,502
22,"Baiyun Intl",Guangzhou,China,CAN,23.392436,113.298786,674,3370
23,Fiumicino,Rome,Italy,FCO,41.804475,12.250797,662,1555
24,Barajas,Madrid,Spain,MAD,40.493556,-3.566764,661,1229
25,"Suvarnabhumi Intl",Bangkok,Thailand,BKK,13.681108,100.747283,656,3885
26,Domododevo,Moscow,Russia,DME,55.408611,37.906111,649,4029
27,Shuangliu,Chengdu,China,CTU,30.578528,103.947086,647,3395
28,"Lester B Pearson Intl",Toronto,Canada,YYZ,43.677223,-79.630556,636,193
29,"Brussels Natl",Brussels,Belgium,BRU,50.901389,4.484444,631,302
30,Manchester,Manchester,"United Kingdom",MAN,53.353744,-2.27495,627,478
31,Schwechat,Vienna,Austria,VIE,48.110278,16.569722,616,1613
32,"Charlotte Douglas Intl",Charlotte,"United States",CLT,35.214,-80.943139,600,3876
33,"Philadelphia Intl",Philadelphia,"United States",PHL,39.871944,-75.241139,576,3752
34,"Narita Intl",Tokyo,Japan,NRT,35.764722,140.386389,575,2279
35,Dusseldorf,Duesseldorf,Germany,DUS,51.289453,6.766775,570,345
36,Xianyang,Xi'an,China,XIY,34.447119,108.751592,563,3379
37,"Son Sant Joan","Palma de Mallorca",Spain,PMI,39.55361,2.727778,548,3998
38,Wujiaba,Kunming,China,KMG,24.992364,102.743536,545,3382
39,Jiangbei,Chongqing,China,CKG,29.719217,106.641678,540,3393
40,"Indira Gandhi Intl",Delhi,India,DEL,28.5665,77.103088,527,3093
41,"Taoyuan Intl",Taipei,Taiwan,TPE,25.077731,121.232822,527,2276
42,"Kuala Lumpur Intl","Kuala Lumpur",Malaysia,KUL,2.745578,101.709917,514,3304
43,"Phoenix Sky Harbor Intl",Phoenix,"United States",PHX,33.434278,-112.011583,508,3462
44,Xiaoshan,Hangzhou,China,HGH,30.229503,120.434453,506,3386
45,"Newark Liberty Intl",Newark,"United States",EWR,40.6925,-74.168667,505,3494
46,"San Francisco Intl","San Francisco","United States",SFO,37.618972,-122.374889,499,3469
47,"Mc Carran Intl","Las Vegas","United States",LAS,36.080056,-115.15225,498,3877
48,Zurich,Zurich,Switzerland,ZRH,47.464722,8.549167,494,1678
49,"George Bush Intercontinental",Houston,"United States",IAH,29.984433,-95.341442,485,3550
50,"Licenciado Benito Juarez Intl","Mexico City",Mexico,MEX,19.436303,-99.072097,485,1824
51,"Abu Dhabi Intl","Abu Dhabi","United Arab Emirates",AUH,24.432972,54.651138,477,2179
52,"Orlando Intl",Orlando,"United States",MCO,28.429394,-81.308994,475,3878
53,"Baoan Intl",Shenzhen,China,SZX,22.639258,113.810664,467,3374
54,Gaoqi,Xiamen,China,XMN,24.544036,118.127739,466,3383
55,Kastrup,Copenhagen,Denmark,CPH,55.617917,12.655972,457,609
56,"Chhatrapati Shivaji Intl",Mumbai,India,BOM,19.088686,72.867919,452,2997
57,Arlanda,Stockholm,Sweden,ARN,59.651944,17.918611,439,737
58,Lisboa,Lisbon,Portugal,LIS,38.781311,-9.135919,435,1638
59,"Detroit Metro Wayne Co",Detroit,"United States",DTW,42.212444,-83.353389,433,3645
60,"Minneapolis St Paul Intl",Minneapolis,"United States",MSP,44.881956,-93.221767,430,3858
61,"General Edward Lawrence Logan Intl",Boston,"United States",BOS,42.364347,-71.005181,424,3448
62,Tegel,Berlin,Germany,TXL,52.559686,13.287711,418,351
63,Dublin,Dublin,Ireland,DUB,53.421333,-6.270075,414,599
